phlevels_id,phlevels_max,phlevels_min,fruit_id,cflevel,ppmlevel
1,6.5,5.5,1,18-22,1260-1540
2,6,6,2,14-18,980-1260
3,5,4,3,18-20,1260-1400
4,6,5.5,4,20-25,1400-1750
5,6.5,6.5,5,16-24,840-1680
6,6.5,6.5,6,20-24,1400-1680
7,6,5.5,7,20-24,1400-1680
8,6,6,8,14-18,980-1260
9,6,5,9,16-20,840-1400
10,6,6,10,18-22,1260-1540
11,5.8,5.8,11,15-24,1260-1680
