phlevels_id,phlevels_max,phlevels_min,herb_id,cflevel,ppmlevel
1,6.5,5.5,1,10-16,700-1120
2,60,5.5,2,20-24,1400-1600
3,6.5,6,3,18-22,1260-1540
4,6.8,6.4,4,10-14,700-980
5,6.8,6.4,5,10-14,700-980
6,6.5,5.5,6,10-16,700-1120
7,6,6,7,16-20,1120-1400
8,6,5.5,8,20-24,1400-1680
9,6.5,6,9,12-24,840-1680
10,6,5.5,10,8-18,560-1260
11,6,5.5,11,10-16,700-1120
12,6.5,5.5,12,10-16,700-1120
13,7,5.5,13,8-16,560-1120
14,6.8,6.5,14,4-18,280-1260
